step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 0]","[3, 0]",2,down,-0.2,running,1,4.0,10
2,"[3, 0]","[4, 0]",2,down,-0.19,running,2,5.0,9
3,"[4, 0]","[3, 0]",1,up,-0.2,running,3,3.0,10
4,"[3, 0]","[4, 0]",2,down,-0.19,running,4,5.0,9
5,"[4, 0]","[3, 0]",1,up,-0.2,running,5,5.0,10
6,"[3, 0]","[4, 0]",2,down,-0.19,running,6,5.0,9
7,"[4, 0]","[5, 0]",2,down,-0.18,running,7,5.0,8
8,"[5, 0]","[6, 0]",2,down,-0.17,running,8,3.0,7
9,"[6, 0]","[5, 0]",1,up,-0.18,running,9,5.0,8
10,"[5, 0]","[5, 1]",4,right,-0.17,running,10,5.0,7
11,"[5, 1]","[6, 1]",2,down,-0.16,running,11,5.0,6
12,"[6, 1]","[5, 1]",1,up,-0.17,running,12,5.0,7
13,"[5, 1]","[4, 1]",1,up,-0.18,running,13,6.0,8
14,"[4, 1]","[5, 1]",2,down,-0.17,running,14,6.0,7
15,"[5, 1]","[4, 1]",1,up,-0.18,running,15,6.0,8
16,"[4, 1]","[3, 1]",1,up,-0.19,running,16,5.0,9
17,"[3, 1]","[4, 1]",2,down,-0.18,running,17,5.0,8
18,"[4, 1]","[5, 1]",2,down,-0.17,running,18,4.0,7
19,"[5, 1]","[4, 1]",1,up,-0.18,running,19,4.0,8
20,"[4, 1]","[3, 1]",1,up,-0.19,running,20,4.0,9
21,"[3, 1]","[2, 1]",1,up,-0.2,running,21,4.0,10
22,"[2, 1]","[3, 1]",2,down,-0.19,running,22,4.0,9
23,"[3, 1]","[2, 1]",1,up,-0.2,running,23,5.0,10
24,"[2, 1]","[3, 1]",2,down,-0.19,running,24,5.0,9
25,"[3, 1]","[2, 1]",1,up,-0.2,running,25,5.0,10
26,"[2, 1]","[3, 1]",2,down,-0.19,running,26,5.0,9
27,"[3, 1]","[2, 1]",1,up,-0.2,running,27,3.0,10
28,"[2, 1]","[1, 1]",1,up,-0.21000000000000002,running,28,1.0,11
29,"[1, 1]","[0, 1]",1,up,-0.22,running,29,1.0,12
30,"[0, 1]","[1, 1]",2,down,-0.21000000000000002,running,30,1.0,11
31,"[1, 1]","[0, 1]",1,up,-0.22,running,31,1.0,12
32,"[0, 1]","[1, 1]",2,down,-10.21,collision,32,0.0,11
