step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[8, 8]","[8, 7]",3,left,-0.21000000000000002,running,1,2.0,11
2,"[8, 7]","[7, 7]",1,up,-0.2,running,2,4.0,10
3,"[7, 7]","[7, 6]",3,left,-0.19,running,3,4.0,9
4,"[7, 6]","[6, 6]",1,up,-0.18,running,4,4.0,8
5,"[6, 6]","[5, 6]",1,up,-0.17,running,5,3.0,7
6,"[5, 6]","[4, 6]",1,up,-0.16,running,6,3.0,6
7,"[4, 6]","[3, 6]",1,up,-0.15000000000000002,running,7,2.0,5
8,"[3, 6]","[3, 5]",3,left,-0.14,running,8,2.0,4
9,"[3, 5]","[2, 5]",1,up,-0.13,running,9,2.0,3
10,"[2, 5]","[1, 5]",1,up,-0.12000000000000001,running,10,2.0,2
11,"[1, 5]","[1, 4]",3,left,-0.11,running,11,1.0,1
12,"[1, 4]","[0, 4]",1,up,-0.12000000000000001,running,12,1.0,2
13,"[0, 4]","[0, 3]",3,left,-0.11,running,13,3.0,1
14,"[0, 3]","[0, 2]",3,left,-0.12000000000000001,running,14,5.0,2
15,"[0, 2]","[0, 1]",3,left,-0.13,running,15,3.0,3
16,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,16,3.0,2
17,"[0, 2]","[0, 1]",3,left,-0.13,running,17,2.0,3
18,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,18,3.0,2
19,"[0, 2]","[0, 1]",3,left,-0.13,running,19,4.0,3
20,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,20,4.0,2
21,"[0, 2]","[0, 1]",3,left,-0.13,running,21,4.0,3
22,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,22,4.0,2
23,"[0, 2]","[0, 3]",4,right,-0.11,running,23,3.0,1
24,"[0, 3]","[0, 2]",3,left,-0.12000000000000001,running,24,3.0,2
25,"[0, 2]","[0, 1]",3,left,-0.13,running,25,3.0,3
26,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,26,1.0,2
27,"[0, 2]","[0, 1]",3,left,-0.13,running,27,1.0,3
28,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,28,1.0,2
29,"[0, 2]","[1, 2]",2,down,-0.11,running,29,3.0,1
30,"[1, 2]","[0, 2]",1,up,-0.12000000000000001,running,30,1.0,2
31,"[0, 2]","[0, 1]",3,left,-0.13,running,31,1.0,3
32,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,32,1.0,2
33,"[0, 2]","[0, 1]",3,left,-0.13,running,33,3.0,3
34,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,34,3.0,2
35,"[0, 2]","[0, 1]",3,left,-0.13,running,35,3.0,3
36,"[0, 1]","[0, 2]",4,right,-0.12000000000000001,running,36,3.0,2
37,"[0, 2]","[1, 2]",2,down,-0.11,running,37,1.0,1
38,"[1, 2]","[0, 2]",1,up,-0.12000000000000001,running,38,1.0,2
39,"[0, 2]","[1, 2]",2,down,-10.11,collision,39,0.0,1
