step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[8, 8]","[7, 8]",1,up,-0.21000000000000002,running,1,4.0,11
2,"[7, 8]","[6, 8]",1,up,-0.2,running,2,3.0,10
3,"[6, 8]","[5, 8]",1,up,-0.19,running,3,1.0,9
4,"[5, 8]","[4, 8]",1,up,-0.18,running,4,1.0,8
5,"[4, 8]","[3, 8]",1,up,-0.17,running,5,1.0,7
6,"[3, 8]","[2, 8]",1,up,-0.16,running,6,2.0,6
7,"[2, 8]","[1, 8]",1,up,-0.15000000000000002,running,7,2.0,5
8,"[1, 8]","[0, 8]",1,up,-0.16,running,8,4.0,6
9,"[0, 8]","[0, 9]",4,right,-0.17,running,9,4.0,7
10,"[0, 9]","[0, 10]",4,right,-0.18,running,10,4.0,8
11,"[0, 10]","[0, 11]",4,right,-0.19,running,11,5.0,9
12,"[0, 11]","[0, 11]",0,stay,-0.19,running,11,5.0,9
13,"[0, 11]","[0, 11]",0,stay,-0.19,running,11,5.0,9
14,"[0, 11]","[0, 11]",0,stay,-0.19,running,11,4.0,9
15,"[0, 11]","[0, 11]",0,stay,-0.19,running,11,3.0,9
16,"[0, 11]","[0, 11]",0,stay,-0.19,running,11,2.0,9
17,"[0, 11]","[0, 11]",0,stay,-0.19,running,11,1.0,9
18,"[0, 11]","[0, 11]",0,stay,-10.19,collision,11,0.0,9
