step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[8, 0]","[8, 1]",4,right,-0.22,running,1,4.0,12
2,"[8, 1]","[7, 1]",1,up,-0.21000000000000002,running,2,4.0,11
3,"[7, 1]","[7, 2]",4,right,-0.2,running,3,4.0,10
4,"[7, 2]","[7, 3]",4,right,-0.19,running,4,4.0,9
5,"[7, 3]","[6, 3]",1,up,-0.18,running,5,2.0,8
6,"[6, 3]","[5, 3]",1,up,-0.17,running,6,2.0,7
7,"[5, 3]","[4, 3]",1,up,-0.16,running,7,3.0,6
8,"[4, 3]","[4, 4]",4,right,-0.15000000000000002,running,8,2.0,5
9,"[4, 4]","[3, 4]",1,up,-0.14,running,9,2.0,4
10,"[3, 4]","[2, 4]",1,up,-0.13,running,10,2.0,3
11,"[2, 4]","[2, 5]",4,right,-0.12000000000000001,running,11,2.0,2
12,"[2, 5]","[1, 5]",1,up,-0.11,running,12,2.0,1
13,"[1, 5]","[0, 5]",1,up,9.9,success,13,2.0,0
