step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 3]","[2, 4]",4,right,-0.11,running,1,1.0,1
2,"[2, 4]","[2, 5]",4,right,-0.12000000000000001,running,2,3.0,2
3,"[2, 5]","[1, 5]",1,up,-0.11,running,3,5.0,1
4,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,4,5.0,2
5,"[2, 5]","[1, 5]",1,up,-0.11,running,5,4.0,1
6,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,6,5.0,2
7,"[2, 5]","[1, 5]",1,up,-0.11,running,7,5.0,1
8,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,8,3.0,2
9,"[2, 5]","[1, 5]",1,up,-0.11,running,9,3.0,1
10,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,10,1.0,2
11,"[2, 5]","[1, 5]",1,up,-0.11,running,11,1.0,1
12,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,12,3.0,2
13,"[2, 5]","[1, 5]",1,up,-0.11,running,13,1.0,1
14,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,14,1.0,2
15,"[2, 5]","[1, 5]",1,up,-0.11,running,15,3.0,1
16,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,16,3.0,2
17,"[2, 5]","[1, 5]",1,up,-0.11,running,17,5.0,1
18,"[1, 5]","[1, 6]",4,right,-0.12000000000000001,running,18,7.0,2
19,"[1, 6]","[1, 5]",3,left,-0.11,running,19,7.0,1
20,"[1, 5]","[1, 6]",4,right,-0.12000000000000001,running,20,7.0,2
21,"[1, 6]","[1, 5]",3,left,-0.11,running,21,5.0,1
22,"[1, 5]","[0, 5]",1,up,-0.12000000000000001,running,22,5.0,2
23,"[0, 5]","[1, 5]",2,down,-0.11,running,23,3.0,1
24,"[1, 5]","[0, 5]",1,up,-0.12000000000000001,running,24,3.0,2
25,"[0, 5]","[1, 5]",2,down,-0.11,running,25,1.0,1
26,"[1, 5]","[2, 5]",2,down,-0.12000000000000001,running,26,3.0,2
27,"[2, 5]","[1, 5]",1,up,-0.11,running,27,1.0,1
28,"[1, 5]","[0, 5]",1,up,-0.12000000000000001,running,28,3.0,2
29,"[0, 5]","[1, 5]",2,down,-0.11,running,29,3.0,1
30,"[1, 5]","[1, 4]",3,left,9.9,success,30,3.0,0
