step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 2]","[2, 2]",2,down,-0.18,running,1,3.0,8
2,"[2, 2]","[3, 2]",2,down,-0.17,running,2,3.0,7
3,"[3, 2]","[4, 2]",2,down,-0.16,running,3,3.0,6
4,"[4, 2]","[4, 3]",4,right,-0.15000000000000002,running,4,3.0,5
5,"[4, 3]","[4, 4]",4,right,-0.14,running,5,3.0,4
6,"[4, 4]","[5, 4]",2,down,-0.13,running,6,3.0,3
7,"[5, 4]","[5, 5]",4,right,-0.12000000000000001,running,7,1.0,2
8,"[5, 5]","[6, 5]",2,down,-0.11,running,8,2.0,1
9,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,9,3.0,2
10,"[5, 5]","[6, 5]",2,down,-0.11,running,10,2.0,1
11,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,11,2.0,2
12,"[5, 5]","[6, 5]",2,down,-0.11,running,12,2.0,1
13,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,13,2.0,2
14,"[5, 5]","[6, 5]",2,down,-0.11,running,14,3.0,1
15,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,15,3.0,2
16,"[5, 5]","[6, 5]",2,down,-0.11,running,16,3.0,1
17,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,17,1.0,2
18,"[5, 5]","[6, 5]",2,down,-0.11,running,18,3.0,1
19,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,19,3.0,2
20,"[5, 5]","[6, 5]",2,down,-0.11,running,20,3.0,1
21,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,21,1.0,2
22,"[5, 5]","[6, 5]",2,down,-0.11,running,22,2.0,1
23,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,23,3.0,2
24,"[5, 5]","[6, 5]",2,down,-0.11,running,24,2.0,1
25,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,25,2.0,2
26,"[5, 5]","[6, 5]",2,down,-0.11,running,26,2.0,1
27,"[6, 5]","[5, 5]",1,up,-0.12000000000000001,running,27,2.0,2
28,"[5, 5]","[6, 5]",2,down,-10.11,collision,28,0.0,1
