step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[3, 4]","[2, 4]",1,up,-0.14,running,1,4.0,4
2,"[2, 4]","[2, 5]",4,right,-0.13,running,2,4.0,3
3,"[2, 5]","[1, 5]",1,up,-0.12000000000000001,running,3,4.0,2
4,"[1, 5]","[0, 5]",1,up,-0.13,running,4,4.0,3
5,"[0, 5]","[0, 6]",4,right,-0.12000000000000001,running,5,2.0,2
6,"[0, 6]","[0, 7]",4,right,-0.11,running,6,4.0,1
7,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,7,4.0,2
8,"[0, 6]","[0, 7]",4,right,-0.11,running,8,3.0,1
9,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,9,3.0,2
10,"[0, 6]","[0, 7]",4,right,-0.11,running,10,3.0,1
11,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,11,4.0,2
12,"[0, 6]","[0, 7]",4,right,-0.11,running,12,4.0,1
13,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,13,6.0,2
14,"[0, 6]","[0, 7]",4,right,-0.11,running,14,6.0,1
15,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,15,4.0,2
16,"[0, 6]","[0, 7]",4,right,-0.11,running,16,4.0,1
17,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,17,2.0,2
18,"[0, 6]","[0, 7]",4,right,-0.11,running,18,2.0,1
19,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,19,4.0,2
20,"[0, 6]","[0, 7]",4,right,-0.11,running,20,4.0,1
21,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,21,6.0,2
22,"[0, 6]","[0, 7]",4,right,-0.11,running,22,6.0,1
23,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,23,6.0,2
24,"[0, 6]","[0, 7]",4,right,-0.11,running,24,4.0,1
25,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,25,4.0,2
26,"[0, 6]","[0, 7]",4,right,-0.11,running,26,2.0,1
27,"[0, 7]","[0, 6]",3,left,-0.12000000000000001,running,27,2.0,2
28,"[0, 6]","[0, 7]",4,right,-0.11,running,28,4.0,1
29,"[0, 7]","[1, 7]",2,down,9.9,success,29,3.0,0
