step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[0, 11]","[1, 11]",2,down,-0.17,running,1,2.0,7
2,"[1, 11]","[2, 11]",2,down,-0.16,running,2,2.0,6
3,"[2, 11]","[3, 11]",2,down,-0.15000000000000002,running,3,2.0,5
4,"[3, 11]","[4, 11]",2,down,-0.14,running,4,4.0,4
5,"[4, 11]","[5, 11]",2,down,-0.13,running,5,3.0,3
6,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,6,3.0,2
7,"[6, 11]","[7, 11]",2,down,-0.11,running,7,5.0,1
8,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,8,6.0,2
9,"[8, 11]","[7, 11]",1,up,-0.11,running,9,6.0,1
10,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,10,4.0,2
11,"[8, 11]","[7, 11]",1,up,-0.11,running,11,4.0,1
12,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,12,2.0,2
13,"[8, 11]","[7, 11]",1,up,-0.11,running,13,2.0,1
14,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,14,2.0,2
15,"[6, 11]","[7, 11]",2,down,-0.11,running,15,2.0,1
16,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,16,3.0,2
17,"[6, 11]","[7, 11]",2,down,-0.11,running,17,3.0,1
18,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,18,3.0,2
19,"[8, 11]","[7, 11]",1,up,-0.11,running,19,3.0,1
20,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,20,5.0,2
21,"[6, 11]","[7, 11]",2,down,-0.11,running,21,5.0,1
22,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,22,6.0,2
23,"[6, 11]","[7, 11]",2,down,-0.11,running,23,5.0,1
24,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,24,5.0,2
25,"[6, 11]","[7, 11]",2,down,-0.11,running,25,3.0,1
26,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,26,3.0,2
27,"[6, 11]","[7, 11]",2,down,-0.11,running,27,3.0,1
28,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,28,3.0,2
29,"[6, 11]","[7, 11]",2,down,-0.11,running,29,5.0,1
30,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,30,6.0,2
31,"[8, 11]","[7, 11]",1,up,-0.11,running,31,5.0,1
32,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,32,4.0,2
33,"[8, 11]","[7, 11]",1,up,-0.11,running,33,4.0,1
34,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,34,3.0,2
35,"[6, 11]","[7, 11]",2,down,-0.11,running,35,2.0,1
36,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,36,2.0,2
37,"[6, 11]","[5, 11]",1,up,-0.13,running,37,3.0,3
38,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,38,3.0,2
39,"[6, 11]","[5, 11]",1,up,-0.13,running,39,3.0,3
40,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,40,3.0,2
41,"[6, 11]","[5, 11]",1,up,-0.13,running,41,4.0,3
42,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,42,5.0,2
43,"[6, 11]","[5, 11]",1,up,-0.13,running,43,5.0,3
44,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,44,5.0,2
45,"[6, 11]","[5, 11]",1,up,-0.13,running,45,3.0,3
46,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,46,3.0,2
47,"[6, 11]","[5, 11]",1,up,-0.13,running,47,2.0,3
48,"[5, 11]","[4, 11]",1,up,-0.14,running,48,2.0,4
49,"[4, 11]","[5, 11]",2,down,-0.13,running,49,2.0,3
50,"[5, 11]","[4, 11]",1,up,-0.14,running,50,1.0,4
51,"[4, 11]","[5, 11]",2,down,-0.13,running,51,1.0,3
52,"[5, 11]","[4, 11]",1,up,-0.14,running,52,1.0,4
53,"[4, 11]","[3, 11]",1,up,-0.15000000000000002,running,53,2.0,5
54,"[3, 11]","[4, 11]",2,down,-10.14,collision,54,0.0,4
