step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 7]","[1, 7]",1,up,-0.11,running,1,3.0,1
2,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,2,3.0,2
3,"[2, 7]","[1, 7]",1,up,-0.11,running,3,3.0,1
4,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,4,2.0,2
5,"[2, 7]","[1, 7]",1,up,-0.11,running,5,1.0,1
6,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,6,1.0,2
7,"[2, 7]","[1, 7]",1,up,-0.11,running,7,1.0,1
8,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,8,2.0,2
9,"[2, 7]","[1, 7]",1,up,-0.11,running,9,1.0,1
10,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,10,1.0,2
11,"[2, 7]","[1, 7]",1,up,-0.11,running,11,2.0,1
12,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,12,2.0,2
13,"[2, 7]","[1, 7]",1,up,-0.11,running,13,2.0,1
14,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,14,1.0,2
15,"[2, 7]","[1, 7]",1,up,-0.11,running,15,3.0,1
16,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,16,3.0,2
17,"[2, 7]","[1, 7]",1,up,-0.11,running,17,3.0,1
18,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,18,4.0,2
19,"[2, 7]","[1, 7]",1,up,-0.11,running,19,4.0,1
20,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,20,4.0,2
21,"[2, 7]","[1, 7]",1,up,-0.11,running,21,3.0,1
22,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,22,3.0,2
23,"[2, 7]","[1, 7]",1,up,-0.11,running,23,3.0,1
24,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,24,1.0,2
25,"[2, 7]","[1, 7]",1,up,-0.11,running,25,1.0,1
26,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,26,1.0,2
27,"[2, 7]","[1, 7]",1,up,-0.11,running,27,1.0,1
28,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,28,1.0,2
29,"[2, 7]","[1, 7]",1,up,-0.11,running,29,3.0,1
30,"[1, 7]","[2, 7]",2,down,-0.12000000000000001,running,30,1.0,2
31,"[2, 7]","[1, 7]",1,up,-0.11,running,31,1.0,1
32,"[1, 7]","[2, 7]",2,down,-10.12,collision,32,0.0,2
