step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 9]","[7, 8]",3,left,-0.17,running,1,3.0,7
2,"[7, 8]","[7, 7]",3,left,-0.16,running,2,2.0,6
3,"[7, 7]","[7, 6]",3,left,-0.15000000000000002,running,3,2.0,5
4,"[7, 6]","[7, 5]",3,left,-0.14,running,4,2.0,4
5,"[7, 5]","[7, 4]",3,left,-0.13,running,5,4.0,3
6,"[7, 4]","[7, 3]",3,left,-0.12000000000000001,running,6,6.0,2
7,"[7, 3]","[7, 2]",3,left,-0.11,running,7,6.0,1
8,"[7, 2]","[7, 1]",3,left,-0.12000000000000001,running,8,6.0,2
9,"[7, 1]","[7, 0]",3,left,-0.13,running,9,7.0,3
10,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,10,7.0,2
11,"[6, 0]","[7, 0]",2,down,-0.13,running,11,8.0,3
12,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,12,9.0,2
13,"[6, 0]","[5, 0]",1,up,-0.13,running,13,7.0,3
14,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,14,8.0,2
15,"[6, 0]","[7, 0]",2,down,-0.13,running,15,9.0,3
16,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,16,9.0,2
17,"[6, 0]","[5, 0]",1,up,-0.13,running,17,8.0,3
18,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,18,8.0,2
19,"[6, 0]","[7, 0]",2,down,-0.13,running,19,8.0,3
20,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,20,8.0,2
21,"[6, 0]","[5, 0]",1,up,-0.13,running,21,6.0,3
22,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,22,6.0,2
23,"[6, 0]","[6, 1]",4,right,-0.11,running,23,4.0,1
24,"[6, 1]","[6, 0]",3,left,-0.12000000000000001,running,24,5.0,2
25,"[6, 0]","[6, 1]",4,right,-0.11,running,25,5.0,1
26,"[6, 1]","[6, 0]",3,left,-0.12000000000000001,running,26,7.0,2
27,"[6, 0]","[7, 0]",2,down,-0.13,running,27,7.0,3
28,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,28,7.0,2
29,"[6, 0]","[7, 0]",2,down,-0.13,running,29,7.0,3
30,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,30,7.0,2
31,"[6, 0]","[6, 1]",4,right,-0.11,running,31,5.0,1
32,"[6, 1]","[6, 0]",3,left,-0.12000000000000001,running,32,7.0,2
33,"[6, 0]","[6, 1]",4,right,-0.11,running,33,5.0,1
34,"[6, 1]","[6, 0]",3,left,-0.12000000000000001,running,34,5.0,2
35,"[6, 0]","[7, 0]",2,down,-0.13,running,35,5.0,3
36,"[7, 0]","[6, 0]",1,up,-0.12000000000000001,running,36,3.0,2
37,"[6, 0]","[6, 1]",4,right,-0.11,running,37,4.0,1
38,"[6, 1]","[6, 0]",3,left,-0.12000000000000001,running,38,4.0,2
39,"[6, 0]","[5, 0]",1,up,-0.13,running,39,2.0,3
40,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,40,2.0,2
41,"[6, 0]","[6, 1]",4,right,-10.11,collision,41,0.0,1
