step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 3]","[1, 3]",1,up,-0.11,running,1,3.0,1
2,"[1, 3]","[0, 3]",1,up,-0.12000000000000001,running,2,5.0,2
3,"[0, 3]","[0, 4]",4,right,-0.11,running,3,5.0,1
4,"[0, 4]","[0, 5]",4,right,-0.12000000000000001,running,4,5.0,2
5,"[0, 5]","[0, 6]",4,right,-0.13,running,5,6.0,3
6,"[0, 6]","[0, 7]",4,right,-0.14,running,6,6.0,4
7,"[0, 7]","[1, 7]",2,down,-0.13,running,7,7.0,3
8,"[1, 7]","[0, 7]",1,up,-0.14,running,8,7.0,4
9,"[0, 7]","[1, 7]",2,down,-0.13,running,9,5.0,3
10,"[1, 7]","[1, 6]",3,left,-0.12000000000000001,running,10,3.0,2
11,"[1, 6]","[0, 6]",1,up,-0.13,running,11,3.0,3
12,"[0, 6]","[0, 7]",4,right,-0.14,running,12,3.0,4
13,"[0, 7]","[1, 7]",2,down,-0.13,running,13,3.0,3
14,"[1, 7]","[1, 6]",3,left,-0.12000000000000001,running,14,3.0,2
15,"[1, 6]","[1, 5]",3,left,-0.11,running,15,3.0,1
16,"[1, 5]","[0, 5]",1,up,-0.12000000000000001,running,16,5.0,2
17,"[0, 5]","[0, 6]",4,right,-0.13,running,17,7.0,3
18,"[0, 6]","[0, 7]",4,right,-0.14,running,18,9.0,4
19,"[0, 7]","[1, 7]",2,down,-0.13,running,19,9.0,3
20,"[1, 7]","[0, 7]",1,up,-0.14,running,20,9.0,4
21,"[0, 7]","[1, 7]",2,down,-0.13,running,21,7.0,3
22,"[1, 7]","[1, 6]",3,left,-0.12000000000000001,running,22,5.0,2
23,"[1, 6]","[0, 6]",1,up,-0.13,running,23,5.0,3
24,"[0, 6]","[1, 6]",2,down,-0.12000000000000001,running,24,3.0,2
25,"[1, 6]","[1, 5]",3,left,-0.11,running,25,1.0,1
26,"[1, 5]","[1, 4]",3,left,9.9,success,26,1.0,0
