step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[2, 6]","[2, 5]",3,left,-0.18,running,1,2.0,8
2,"[2, 5]","[2, 4]",3,left,-0.17,running,2,4.0,7
3,"[2, 4]","[2, 3]",3,left,-0.16,running,3,3.0,6
4,"[2, 3]","[3, 3]",2,down,-0.15000000000000002,running,4,1.0,5
5,"[3, 3]","[4, 3]",2,down,-0.14,running,5,2.0,4
6,"[4, 3]","[5, 3]",2,down,-0.13,running,6,2.0,3
7,"[5, 3]","[6, 3]",2,down,-0.12000000000000001,running,7,4.0,2
8,"[6, 3]","[7, 3]",2,down,-0.13,running,8,6.0,3
9,"[7, 3]","[7, 2]",3,left,-0.12000000000000001,running,9,5.0,2
10,"[7, 2]","[7, 1]",3,left,-0.11,running,10,4.0,1
11,"[7, 1]","[7, 0]",3,left,-0.12000000000000001,running,11,5.0,2
12,"[7, 0]","[6, 0]",1,up,-0.11,running,12,3.0,1
13,"[6, 0]","[7, 0]",2,down,-0.12000000000000001,running,13,3.0,2
14,"[7, 0]","[6, 0]",1,up,-0.11,running,14,3.0,1
15,"[6, 0]","[5, 0]",1,up,-0.12000000000000001,running,15,3.0,2
16,"[5, 0]","[6, 0]",2,down,-0.11,running,16,3.0,1
17,"[6, 0]","[7, 0]",2,down,-0.12000000000000001,running,17,5.0,2
18,"[7, 0]","[6, 0]",1,up,-0.11,running,18,3.0,1
19,"[6, 0]","[7, 0]",2,down,-0.12000000000000001,running,19,5.0,2
20,"[7, 0]","[7, 1]",4,right,-0.11,running,20,5.0,1
21,"[7, 1]","[7, 0]",3,left,-0.12000000000000001,running,21,5.0,2
22,"[7, 0]","[7, 1]",4,right,-0.11,running,22,4.0,1
23,"[7, 1]","[7, 0]",3,left,-0.12000000000000001,running,23,4.0,2
24,"[7, 0]","[7, 1]",4,right,-0.11,running,24,4.0,1
25,"[7, 1]","[7, 0]",3,left,-0.12000000000000001,running,25,3.0,2
26,"[7, 0]","[6, 0]",1,up,-0.11,running,26,2.0,1
27,"[6, 0]","[5, 0]",1,up,-10.12,collision,27,0.0,2
