step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[4, 2]","[3, 2]",1,up,-0.13,running,1,3.0,3
2,"[3, 2]","[2, 2]",1,up,-0.12000000000000001,running,2,3.0,2
3,"[2, 2]","[1, 2]",1,up,-0.11,running,3,5.0,1
4,"[1, 2]","[0, 2]",1,up,-0.12000000000000001,running,4,6.0,2
5,"[0, 2]","[0, 1]",3,left,-0.11,running,5,6.0,1
6,"[0, 1]","[0, 0]",3,left,-0.12000000000000001,running,6,6.0,2
7,"[0, 0]","[0, 1]",4,right,-0.11,running,7,4.0,1
8,"[0, 1]","[0, 0]",3,left,-0.12000000000000001,running,8,4.0,2
9,"[0, 0]","[1, 0]",2,down,-0.11,running,9,4.0,1
10,"[1, 0]","[0, 0]",1,up,-0.12000000000000001,running,10,4.0,2
11,"[0, 0]","[1, 0]",2,down,-0.11,running,11,4.0,1
12,"[1, 0]","[2, 0]",2,down,-0.12000000000000001,running,12,4.0,2
13,"[2, 0]","[1, 0]",1,up,-0.11,running,13,5.0,1
14,"[1, 0]","[2, 0]",2,down,-0.12000000000000001,running,14,5.0,2
15,"[2, 0]","[1, 0]",1,up,-0.11,running,15,5.0,1
16,"[1, 0]","[0, 0]",1,up,-0.12000000000000001,running,16,7.0,2
17,"[0, 0]","[1, 0]",2,down,-0.11,running,17,7.0,1
18,"[1, 0]","[0, 0]",1,up,-0.12000000000000001,running,18,8.0,2
19,"[0, 0]","[0, 1]",4,right,-0.11,running,19,6.0,1
20,"[0, 1]","[1, 1]",2,down,9.9,success,20,4.0,0
