step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 9]","[7, 8]",3,left,-0.18,running,1,2.0,8
2,"[7, 8]","[7, 7]",3,left,-0.17,running,2,2.0,7
3,"[7, 7]","[7, 6]",3,left,-0.16,running,3,4.0,6
4,"[7, 6]","[7, 5]",3,left,-0.15000000000000002,running,4,4.0,5
5,"[7, 5]","[7, 4]",3,left,-0.14,running,5,2.0,4
6,"[7, 4]","[7, 3]",3,left,-0.13,running,6,2.0,3
7,"[7, 3]","[8, 3]",2,down,-0.12000000000000001,running,7,2.0,2
8,"[8, 3]","[8, 2]",3,left,-0.11,running,8,1.0,1
9,"[8, 2]","[9, 2]",2,down,-0.12000000000000001,running,9,1.0,2
10,"[9, 2]","[10, 2]",2,down,-0.13,running,10,3.0,3
11,"[10, 2]","[11, 2]",2,down,-0.14,running,11,3.0,4
12,"[11, 2]","[11, 1]",3,left,-0.13,running,12,4.0,3
13,"[11, 1]","[11, 2]",4,right,-0.14,running,13,4.0,4
14,"[11, 2]","[11, 3]",4,right,-0.15000000000000002,running,14,5.0,5
15,"[11, 3]","[11, 2]",3,left,-0.14,running,15,5.0,4
16,"[11, 2]","[11, 1]",3,left,-0.13,running,16,5.0,3
17,"[11, 1]","[11, 2]",4,right,-0.14,running,17,5.0,4
18,"[11, 2]","[11, 3]",4,right,-0.15000000000000002,running,18,5.0,5
19,"[11, 3]","[11, 4]",4,right,-0.16,running,19,6.0,6
20,"[11, 4]","[11, 3]",3,left,-0.15000000000000002,running,20,5.0,5
21,"[11, 3]","[11, 2]",3,left,-0.14,running,21,4.0,4
22,"[11, 2]","[10, 2]",1,up,-0.13,running,22,3.0,3
23,"[10, 2]","[9, 2]",1,up,-0.12000000000000001,running,23,3.0,2
24,"[9, 2]","[9, 1]",3,left,-0.11,running,24,2.0,1
25,"[9, 1]","[9, 0]",3,left,-0.12000000000000001,running,25,1.0,2
26,"[9, 0]","[9, 1]",4,right,-0.11,running,26,1.0,1
27,"[9, 1]","[9, 0]",3,left,-0.12000000000000001,running,27,1.0,2
28,"[9, 0]","[9, 1]",4,right,-0.11,running,28,1.0,1
29,"[9, 1]","[9, 0]",3,left,-0.12000000000000001,running,29,3.0,2
30,"[9, 0]","[10, 0]",2,down,-0.13,running,30,3.0,3
31,"[10, 0]","[10, 1]",4,right,-0.12000000000000001,running,31,1.0,2
32,"[10, 1]","[11, 1]",2,down,-0.13,running,32,1.0,3
33,"[11, 1]","[11, 2]",4,right,-0.14,running,33,3.0,4
34,"[11, 2]","[11, 3]",4,right,-0.15000000000000002,running,34,3.0,5
35,"[11, 3]","[11, 2]",3,left,-0.14,running,35,4.0,4
36,"[11, 2]","[11, 1]",3,left,-0.13,running,36,4.0,3
37,"[11, 1]","[11, 2]",4,right,-0.14,running,37,3.0,4
38,"[11, 2]","[11, 1]",3,left,-0.13,running,38,5.0,3
39,"[11, 1]","[11, 2]",4,right,-0.14,running,39,4.0,4
40,"[11, 2]","[11, 1]",3,left,-0.13,running,40,3.0,3
41,"[11, 1]","[11, 2]",4,right,-0.14,running,41,2.0,4
42,"[11, 2]","[10, 2]",1,up,-0.13,running,42,1.0,3
43,"[10, 2]","[10, 1]",3,left,-0.12000000000000001,running,43,2.0,2
44,"[10, 1]","[10, 0]",3,left,-0.13,running,44,2.0,3
45,"[10, 0]","[10, 1]",4,right,-0.12000000000000001,running,45,2.0,2
46,"[10, 1]","[9, 1]",1,up,-0.11,running,46,3.0,1
47,"[9, 1]","[8, 1]",1,up,9.9,success,47,1.0,0
