step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[7, 6]","[6, 6]",1,up,-0.17,running,1,4.0,7
2,"[6, 6]","[5, 6]",1,up,-0.16,running,2,4.0,6
3,"[5, 6]","[4, 6]",1,up,-0.15000000000000002,running,3,4.0,5
4,"[4, 6]","[3, 6]",1,up,-0.14,running,4,3.0,4
5,"[3, 6]","[2, 6]",1,up,-0.13,running,5,1.0,3
6,"[2, 6]","[1, 6]",1,up,-0.12000000000000001,running,6,3.0,2
7,"[1, 6]","[0, 6]",1,up,-0.13,running,7,3.0,3
8,"[0, 6]","[0, 7]",4,right,-0.12000000000000001,running,8,3.0,2
9,"[0, 7]","[0, 8]",4,right,-0.11,running,9,2.0,1
10,"[0, 8]","[0, 9]",4,right,-0.12000000000000001,running,10,1.0,2
11,"[0, 9]","[0, 10]",4,right,-0.13,running,11,1.0,3
12,"[0, 10]","[1, 10]",2,down,-0.12000000000000001,running,12,1.0,2
13,"[1, 10]","[0, 10]",1,up,-0.13,running,13,2.0,3
14,"[0, 10]","[0, 11]",4,right,-0.14,running,14,2.0,4
15,"[0, 11]","[1, 11]",2,down,-0.13,running,15,2.0,3
16,"[1, 11]","[0, 11]",1,up,-0.14,running,16,1.0,4
17,"[0, 11]","[1, 11]",2,down,-0.13,running,17,1.0,3
18,"[1, 11]","[0, 11]",1,up,-0.14,running,18,1.0,4
19,"[0, 11]","[1, 11]",2,down,-0.13,running,19,1.0,3
20,"[1, 11]","[0, 11]",1,up,-0.14,running,20,1.0,4
21,"[0, 11]","[1, 11]",2,down,-0.13,running,21,2.0,3
22,"[1, 11]","[0, 11]",1,up,-0.14,running,22,3.0,4
23,"[0, 11]","[1, 11]",2,down,-0.13,running,23,3.0,3
24,"[1, 11]","[0, 11]",1,up,-0.14,running,24,3.0,4
25,"[0, 11]","[1, 11]",2,down,-0.13,running,25,3.0,3
26,"[1, 11]","[0, 11]",1,up,-0.14,running,26,3.0,4
27,"[0, 11]","[1, 11]",2,down,-0.13,running,27,3.0,3
28,"[1, 11]","[0, 11]",1,up,-0.14,running,28,2.0,4
29,"[0, 11]","[1, 11]",2,down,-0.13,running,29,3.0,3
30,"[1, 11]","[0, 11]",1,up,-0.14,running,30,3.0,4
31,"[0, 11]","[1, 11]",2,down,-0.13,running,31,3.0,3
32,"[1, 11]","[0, 11]",1,up,-0.14,running,32,3.0,4
33,"[0, 11]","[1, 11]",2,down,-0.13,running,33,4.0,3
34,"[1, 11]","[0, 11]",1,up,-0.14,running,34,4.0,4
35,"[0, 11]","[1, 11]",2,down,-0.13,running,35,4.0,3
36,"[1, 11]","[0, 11]",1,up,-0.14,running,36,5.0,4
37,"[0, 11]","[1, 11]",2,down,-0.13,running,37,5.0,3
38,"[1, 11]","[0, 11]",1,up,-0.14,running,38,3.0,4
39,"[0, 11]","[1, 11]",2,down,-0.13,running,39,3.0,3
40,"[1, 11]","[0, 11]",1,up,-0.14,running,40,1.0,4
41,"[0, 11]","[1, 11]",2,down,-0.13,running,41,1.0,3
42,"[1, 11]","[0, 11]",1,up,-0.14,running,42,1.0,4
43,"[0, 11]","[1, 11]",2,down,-0.13,running,43,3.0,3
44,"[1, 11]","[0, 11]",1,up,-0.14,running,44,3.0,4
45,"[0, 11]","[1, 11]",2,down,-0.13,running,45,4.0,3
46,"[1, 11]","[0, 11]",1,up,-0.14,running,46,4.0,4
47,"[0, 11]","[1, 11]",2,down,-0.13,running,47,2.0,3
48,"[1, 11]","[0, 11]",1,up,-0.14,running,48,2.0,4
49,"[0, 11]","[1, 11]",2,down,-0.13,running,49,1.0,3
50,"[1, 11]","[0, 11]",1,up,-0.14,running,50,2.0,4
51,"[0, 11]","[1, 11]",2,down,-0.13,running,51,1.0,3
52,"[1, 11]","[0, 11]",1,up,-0.14,running,52,3.0,4
53,"[0, 11]","[1, 11]",2,down,-0.13,running,53,2.0,3
54,"[1, 11]","[0, 11]",1,up,-0.14,running,54,3.0,4
55,"[0, 11]","[1, 11]",2,down,-0.13,running,55,1.0,3
56,"[1, 11]","[0, 11]",1,up,-0.14,running,56,1.0,4
57,"[0, 11]","[1, 11]",2,down,-0.13,running,57,1.0,3
58,"[1, 11]","[0, 11]",1,up,-10.14,collision,58,0.0,4
