step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[3, 4]","[3, 5]",4,right,-0.2,running,1,2.0,10
2,"[3, 5]","[3, 6]",4,right,-0.19,running,2,2.0,9
3,"[3, 6]","[3, 7]",4,right,-0.18,running,3,3.0,8
4,"[3, 7]","[3, 8]",4,right,-0.17,running,4,4.0,7
5,"[3, 8]","[3, 9]",4,right,-0.16,running,5,2.0,6
6,"[3, 9]","[4, 9]",2,down,-0.15000000000000002,running,6,4.0,5
7,"[4, 9]","[4, 10]",4,right,-0.14,running,7,2.0,4
8,"[4, 10]","[5, 10]",2,down,-0.13,running,8,2.0,3
9,"[5, 10]","[5, 11]",4,right,-0.12000000000000001,running,9,3.0,2
10,"[5, 11]","[6, 11]",2,down,-0.11,running,10,2.0,1
11,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,11,2.0,2
12,"[5, 11]","[6, 11]",2,down,-0.11,running,12,2.0,1
13,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,13,1.0,2
14,"[5, 11]","[6, 11]",2,down,-0.11,running,14,1.0,1
15,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,15,1.0,2
16,"[5, 11]","[6, 11]",2,down,-0.11,running,16,3.0,1
17,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,17,2.0,2
18,"[5, 11]","[6, 11]",2,down,-0.11,running,18,2.0,1
19,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,19,2.0,2
20,"[5, 11]","[6, 11]",2,down,-0.11,running,20,4.0,1
21,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,21,4.0,2
22,"[5, 11]","[6, 11]",2,down,-0.11,running,22,6.0,1
23,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,23,6.0,2
24,"[5, 11]","[6, 11]",2,down,-0.11,running,24,7.0,1
25,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,25,5.0,2
26,"[5, 11]","[6, 11]",2,down,-0.11,running,26,5.0,1
27,"[6, 11]","[5, 11]",1,up,-0.12000000000000001,running,27,5.0,2
28,"[5, 11]","[6, 11]",2,down,-0.11,running,28,4.0,1
29,"[6, 11]","[7, 11]",2,down,9.9,success,29,2.0,0
