step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 2]","[2, 2]",2,down,-0.14,running,1,5.0,4
2,"[2, 2]","[2, 1]",3,left,-0.15000000000000002,running,2,5.0,5
3,"[2, 1]","[2, 0]",3,left,-0.16,running,3,5.0,6
4,"[2, 0]","[3, 0]",2,down,-0.15000000000000002,running,4,5.0,5
5,"[3, 0]","[4, 0]",2,down,-0.14,running,5,3.0,4
6,"[4, 0]","[5, 0]",2,down,-0.13,running,6,3.0,3
7,"[5, 0]","[4, 0]",1,up,-0.14,running,7,3.0,4
8,"[4, 0]","[4, 1]",4,right,-0.13,running,8,2.0,3
9,"[4, 1]","[4, 0]",3,left,-0.14,running,9,2.0,4
10,"[4, 0]","[5, 0]",2,down,-0.13,running,10,2.0,3
11,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,11,3.0,2
12,"[6, 0]","[5, 0]",1,up,-0.13,running,12,4.0,3
13,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,13,4.0,2
14,"[6, 0]","[6, 1]",4,right,-0.11,running,14,3.0,1
15,"[6, 1]","[5, 1]",1,up,-0.12000000000000001,running,15,3.0,2
16,"[5, 1]","[5, 0]",3,left,-0.13,running,16,1.0,3
17,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,17,1.0,2
18,"[6, 0]","[5, 0]",1,up,-0.13,running,18,1.0,3
19,"[5, 0]","[4, 0]",1,up,-0.14,running,19,2.0,4
20,"[4, 0]","[5, 0]",2,down,-0.13,running,20,1.0,3
21,"[5, 0]","[6, 0]",2,down,-0.12000000000000001,running,21,3.0,2
22,"[6, 0]","[5, 0]",1,up,-0.13,running,22,1.0,3
23,"[5, 0]","[5, 1]",4,right,-0.12000000000000001,running,23,1.0,2
24,"[5, 1]","[5, 2]",4,right,-0.11,running,24,1.0,1
25,"[5, 2]","[5, 1]",3,left,-0.12000000000000001,running,25,1.0,2
26,"[5, 1]","[5, 2]",4,right,-0.11,running,26,3.0,1
27,"[5, 2]","[5, 3]",4,right,-0.12000000000000001,running,27,3.0,2
28,"[5, 3]","[5, 4]",4,right,-0.13,running,28,3.0,3
29,"[5, 4]","[5, 3]",3,left,-0.12000000000000001,running,29,1.0,2
30,"[5, 3]","[5, 2]",3,left,-0.11,running,30,3.0,1
31,"[5, 2]","[5, 1]",3,left,-0.12000000000000001,running,31,1.0,2
32,"[5, 1]","[6, 1]",2,down,-0.11,running,32,2.0,1
33,"[6, 1]","[6, 2]",4,right,9.9,success,33,1.0,0
