step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[0, 6]","[0, 5]",3,left,-0.22,running,1,5.0,12
2,"[0, 5]","[0, 4]",3,left,-0.21000000000000002,running,2,4.0,11
3,"[0, 4]","[0, 3]",3,left,-0.2,running,3,4.0,10
4,"[0, 3]","[0, 2]",3,left,-0.19,running,4,4.0,9
5,"[0, 2]","[0, 1]",3,left,-0.18,running,5,4.0,8
6,"[0, 1]","[0, 0]",3,left,-0.17,running,6,4.0,7
7,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
8,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,2.0,7
9,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
10,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
11,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,4.0,7
12,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,5.0,7
13,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,5.0,7
14,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,4.0,7
15,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
16,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,4.0,7
17,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,5.0,7
18,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,6.0,7
19,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,6.0,7
20,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,6.0,7
21,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,5.0,7
22,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,6.0,7
23,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,5.0,7
24,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,6.0,7
25,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,7.0,7
26,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,6.0,7
27,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,5.0,7
28,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,4.0,7
29,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
30,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,2.0,7
31,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,2.0,7
32,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,2.0,7
33,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
34,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,3.0,7
35,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,2.0,7
36,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,1.0,7
37,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,2.0,7
38,"[0, 0]","[0, 0]",0,stay,-0.17,running,6,1.0,7
39,"[0, 0]","[0, 0]",0,stay,-10.17,collision,6,0.0,7
