step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[8, 4]","[8, 5]",4,right,-0.15000000000000002,running,1,2.0,5
2,"[8, 5]","[8, 6]",4,right,-0.14,running,2,2.0,4
3,"[8, 6]","[8, 7]",4,right,-0.13,running,3,4.0,3
4,"[8, 7]","[7, 7]",1,up,-0.12000000000000001,running,4,2.0,2
5,"[7, 7]","[6, 7]",1,up,-0.11,running,5,2.0,1
6,"[6, 7]","[5, 7]",1,up,-0.12000000000000001,running,6,4.0,2
7,"[5, 7]","[5, 8]",4,right,-0.11,running,7,5.0,1
8,"[5, 8]","[4, 8]",1,up,-0.12000000000000001,running,8,5.0,2
9,"[4, 8]","[3, 8]",1,up,-0.13,running,9,5.0,3
10,"[3, 8]","[4, 8]",2,down,-0.12000000000000001,running,10,3.0,2
11,"[4, 8]","[5, 8]",2,down,-0.11,running,11,1.0,1
12,"[5, 8]","[6, 8]",2,down,9.9,success,12,3.0,0
