step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[3, 0]","[3, 1]",4,right,-0.17,running,1,2.0,7
2,"[3, 1]","[3, 2]",4,right,-0.16,running,2,2.0,6
3,"[3, 2]","[3, 3]",4,right,-0.15000000000000002,running,3,2.0,5
4,"[3, 3]","[3, 4]",4,right,-0.14,running,4,2.0,4
5,"[3, 4]","[3, 5]",4,right,-0.13,running,5,2.0,3
6,"[3, 5]","[3, 6]",4,right,-0.12000000000000001,running,6,4.0,2
7,"[3, 6]","[4, 6]",2,down,-0.11,running,7,4.0,1
8,"[4, 6]","[4, 7]",4,right,-0.12000000000000001,running,8,4.0,2
9,"[4, 7]","[5, 7]",2,down,-0.11,running,9,3.0,1
10,"[5, 7]","[4, 7]",1,up,-0.12000000000000001,running,10,3.0,2
11,"[4, 7]","[5, 7]",2,down,-0.11,running,11,2.0,1
12,"[5, 7]","[4, 7]",1,up,-0.12000000000000001,running,12,4.0,2
13,"[4, 7]","[5, 7]",2,down,-0.11,running,13,2.0,1
14,"[5, 7]","[4, 7]",1,up,-0.12000000000000001,running,14,3.0,2
15,"[4, 7]","[5, 7]",2,down,-0.11,running,15,3.0,1
16,"[5, 7]","[4, 7]",1,up,-0.12000000000000001,running,16,4.0,2
17,"[4, 7]","[5, 7]",2,down,-0.11,running,17,3.0,1
18,"[5, 7]","[5, 6]",3,left,9.9,success,18,1.0,0
