step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[0, 11]","[1, 11]",2,down,-0.17,running,1,2.0,7
2,"[1, 11]","[2, 11]",2,down,-0.16,running,2,2.0,6
3,"[2, 11]","[3, 11]",2,down,-0.15000000000000002,running,3,2.0,5
4,"[3, 11]","[4, 11]",2,down,-0.14,running,4,4.0,4
5,"[4, 11]","[5, 11]",2,down,-0.13,running,5,3.0,3
6,"[5, 11]","[6, 11]",2,down,-0.12000000000000001,running,6,3.0,2
7,"[6, 11]","[7, 11]",2,down,-0.11,running,7,5.0,1
8,"[7, 11]","[8, 11]",2,down,-0.12000000000000001,running,8,6.0,2
9,"[8, 11]","[7, 11]",1,up,-0.11,running,9,6.0,1
10,"[7, 11]","[6, 11]",1,up,-0.12000000000000001,running,10,6.0,2
11,"[6, 11]","[7, 11]",2,down,-0.11,running,11,4.0,1
12,"[7, 11]","[7, 10]",3,left,9.9,success,12,2.0,0
