step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 7]","[1, 6]",3,left,-0.21000000000000002,running,1,2.0,11
2,"[1, 6]","[1, 5]",3,left,-0.2,running,2,4.0,10
3,"[1, 5]","[1, 4]",3,left,-0.19,running,3,4.0,9
4,"[1, 4]","[2, 4]",2,down,-0.18,running,4,4.0,8
5,"[2, 4]","[3, 4]",2,down,-0.17,running,5,3.0,7
6,"[3, 4]","[4, 4]",2,down,-0.16,running,6,3.0,6
7,"[4, 4]","[5, 4]",2,down,-0.15000000000000002,running,7,2.0,5
8,"[5, 4]","[5, 3]",3,left,-0.14,running,8,3.0,4
9,"[5, 3]","[6, 3]",2,down,-0.13,running,9,3.0,3
10,"[6, 3]","[7, 3]",2,down,-0.12000000000000001,running,10,4.0,2
11,"[7, 3]","[7, 2]",3,left,-0.11,running,11,4.0,1
12,"[7, 2]","[8, 2]",2,down,9.9,success,12,2.0,0
