step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[1, 7]","[2, 7]",2,down,-0.21000000000000002,running,1,2.0,11
2,"[2, 7]","[3, 7]",2,down,-0.2,running,2,2.0,10
3,"[3, 7]","[4, 7]",2,down,-0.19,running,3,2.0,9
4,"[4, 7]","[4, 6]",3,left,-0.18,running,4,2.0,8
5,"[4, 6]","[4, 5]",3,left,-0.17,running,5,3.0,7
6,"[4, 5]","[5, 5]",2,down,-0.16,running,6,2.0,6
7,"[5, 5]","[5, 4]",3,left,-0.15000000000000002,running,7,2.0,5
8,"[5, 4]","[6, 4]",2,down,-0.14,running,8,2.0,4
9,"[6, 4]","[6, 3]",3,left,-0.13,running,9,3.0,3
10,"[6, 3]","[7, 3]",2,down,-0.12000000000000001,running,10,4.0,2
11,"[7, 3]","[7, 2]",3,left,-0.11,running,11,4.0,1
12,"[7, 2]","[7, 1]",3,left,-0.12000000000000001,running,12,4.0,2
13,"[7, 1]","[8, 1]",2,down,-0.11,running,13,3.0,1
14,"[8, 1]","[8, 2]",4,right,9.9,success,14,2.0,0
