step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[11, 5]","[10, 5]",1,up,-0.23,running,1,1.0,13
2,"[10, 5]","[9, 5]",1,up,-0.22,running,2,2.0,12
3,"[9, 5]","[8, 5]",1,up,-0.21000000000000002,running,3,2.0,11
4,"[8, 5]","[7, 5]",1,up,-0.2,running,4,2.0,10
5,"[7, 5]","[7, 6]",4,right,-0.19,running,5,2.0,9
6,"[7, 6]","[7, 7]",4,right,-0.18,running,6,3.0,8
7,"[7, 7]","[6, 7]",1,up,-0.17,running,7,3.0,7
8,"[6, 7]","[5, 7]",1,up,-0.16,running,8,3.0,6
9,"[5, 7]","[5, 8]",4,right,-0.15000000000000002,running,9,1.0,5
10,"[5, 8]","[4, 8]",1,up,-0.14,running,10,1.0,4
11,"[4, 8]","[4, 9]",4,right,-10.13,collision,11,0.0,3
