step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[9, 2]","[8, 2]",1,up,-0.13,running,1,4.0,3
2,"[8, 2]","[7, 2]",1,up,-0.12000000000000001,running,2,4.0,2
3,"[7, 2]","[7, 1]",3,left,-0.11,running,3,4.0,1
4,"[7, 1]","[7, 0]",3,left,-0.12000000000000001,running,4,6.0,2
5,"[7, 0]","[6, 0]",1,up,-0.11,running,5,6.0,1
6,"[6, 0]","[7, 0]",2,down,-0.12000000000000001,running,6,7.0,2
7,"[7, 0]","[6, 0]",1,up,-0.11,running,7,5.0,1
8,"[6, 0]","[7, 0]",2,down,-0.12000000000000001,running,8,5.0,2
9,"[7, 0]","[7, 1]",4,right,-0.11,running,9,4.0,1
10,"[7, 1]","[6, 1]",1,up,9.9,success,10,4.0,0
