step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[3, 0]","[4, 0]",2,down,-0.16,running,1,4.0,6
2,"[4, 0]","[5, 0]",2,down,-0.15000000000000002,running,2,4.0,5
3,"[5, 0]","[6, 0]",2,down,-0.14,running,3,4.0,4
4,"[6, 0]","[7, 0]",2,down,-0.13,running,4,2.0,3
5,"[7, 0]","[8, 0]",2,down,-0.12000000000000001,running,5,2.0,2
6,"[8, 0]","[8, 1]",4,right,-0.11,running,6,2.0,1
7,"[8, 1]","[9, 1]",2,down,-0.12000000000000001,running,7,3.0,2
8,"[9, 1]","[8, 1]",1,up,-0.11,running,8,3.0,1
9,"[8, 1]","[9, 1]",2,down,-0.12000000000000001,running,9,1.0,2
10,"[9, 1]","[9, 2]",4,right,-10.11,collision,10,0.0,1
