step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[9, 1]","[8, 1]",1,up,-0.23,running,1,2.0,13
2,"[8, 1]","[8, 2]",4,right,-0.22,running,2,2.0,12
3,"[8, 2]","[8, 3]",4,right,-0.21000000000000002,running,3,4.0,11
4,"[8, 3]","[7, 3]",1,up,-0.2,running,4,4.0,10
5,"[7, 3]","[6, 3]",1,up,-0.19,running,5,4.0,9
6,"[6, 3]","[5, 3]",1,up,-0.18,running,6,4.0,8
7,"[5, 3]","[5, 4]",4,right,-0.17,running,7,3.0,7
8,"[5, 4]","[4, 4]",1,up,-0.16,running,8,3.0,6
9,"[4, 4]","[4, 5]",4,right,-0.15000000000000002,running,9,1.0,5
10,"[4, 5]","[4, 6]",4,right,-0.14,running,10,1.0,4
11,"[4, 6]","[3, 6]",1,up,-0.13,running,11,1.0,3
12,"[3, 6]","[3, 7]",4,right,-0.12000000000000001,running,12,2.0,2
13,"[3, 7]","[3, 8]",4,right,-10.11,collision,13,0.0,1
