run_name,group,report_section,model,difficulty,seed,total_timesteps,horizon,final_loss,episode_return,aux_loss,history_path
mlp_easy_seed0_main,main,main_results,mlp,easy,0,30000,,0.7435635924339294,0.27333333333333376,,outputs\train_logs\mlp_easy_seed0_main_train_history.csv
mlp_medium_seed0_main,main,main_results,mlp,medium,0,45000,,0.136715367436409,-5.1075,,outputs\train_logs\mlp_medium_seed0_main_train_history.csv
mlp_hard_seed0_main,main,main_results,mlp,hard,0,60000,,0.16965629160404205,-9.360270270270272,,outputs\train_logs\mlp_hard_seed0_main_train_history.csv
gnn_easy_seed0_main,main,main_results,gnn,easy,0,40000,,0.1283547580242157,7.520000000000001,,outputs\train_logs\gnn_easy_seed0_main_train_history.csv
gnn_medium_seed0_main,main,main_results,gnn,medium,0,60000,,0.32932358980178833,-0.9439024390243902,,outputs\train_logs\gnn_medium_seed0_main_train_history.csv
gnn_hard_seed0_main,main,main_results,gnn,hard,0,80000,,0.18439075350761414,-1.8482352941176472,,outputs\train_logs\gnn_hard_seed0_main_train_history.csv
predictive_easy_seed0_h3_main,main,main_results,predictive,easy,0,81920,3,0.10997111350297928,6.072513089005235,0.2630803883075714,outputs\train_logs\predictive_easy_seed0_h3_main_train_history.csv
predictive_medium_seed0_h3_main,main,main_results,predictive,medium,0,122880,3,0.031120143830776215,4.4673428571428575,0.26189541816711426,outputs\train_logs\predictive_medium_seed0_h3_main_train_history.csv
predictive_hard_seed0_h3_main,main,main_results,predictive,hard,0,163840,3,0.14991877973079681,2.1019607843137256,0.24948613345623016,outputs\train_logs\predictive_hard_seed0_h3_main_train_history.csv
predictive_medium_seed0_h1_ablation,ablation,ablation,predictive,medium,0,122880,1,0.2862910032272339,4.177323529411765,0.27729931473731995,outputs\train_logs\predictive_medium_seed0_h1_ablation_train_history.csv
predictive_hard_seed0_h1_ablation,ablation,ablation,predictive,hard,0,163840,1,0.19079606235027313,2.1110703363914376,0.2561001777648926,outputs\train_logs\predictive_hard_seed0_h1_ablation_train_history.csv
predictive_hard_seed1_h3_stability,stability,stability,predictive,hard,1,163840,3,0.19614605605602264,2.7298251748251747,0.2537563443183899,outputs\train_logs\predictive_hard_seed1_h3_stability_train_history.csv
predictive_hard_seed2_h3_stability,stability,stability,predictive,hard,2,163840,3,0.08505235612392426,2.5020477815699658,0.252224862575531,outputs\train_logs\predictive_hard_seed2_h3_stability_train_history.csv
